epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,780.329,0.52037,2.17018,1.02733,0.90057,0.93009,0.96136,0.90029,0.42551,0.58943,1.03544,6.231e-05,6.231e-05,6.231e-05
52,795.585,0.54259,2.19233,1.03927,0.90468,0.93279,0.96136,0.88944,0.44686,0.58939,1.047,6.16962e-05,6.16962e-05,6.16962e-05
53,810.895,0.53024,2.13962,1.03133,0.91382,0.91972,0.95362,0.8909,0.45407,0.58318,1.0614,6.10824e-05,6.10824e-05,6.10824e-05
54,826.243,0.54566,2.09489,1.05035,0.86083,0.92989,0.95895,0.88374,0.45834,0.62899,1.04734,6.04686e-05,6.04686e-05,6.04686e-05
55,841.434,0.51026,2.04402,1.01424,0.93476,0.93053,0.96136,0.89342,0.43913,0.54662,1.04063,5.98548e-05,5.98548e-05,5.98548e-05
56,856.612,0.51416,1.98484,1.02462,0.89984,0.93509,0.96393,0.90182,0.40228,0.5597,1.0064,5.9241e-05,5.9241e-05,5.9241e-05
57,871.91,0.49048,1.95991,1.00396,0.88459,0.93451,0.9588,0.89603,0.40943,0.53526,1.02549,5.86272e-05,5.86272e-05,5.86272e-05
58,887.167,0.53083,2.00408,1.02822,0.86214,0.95569,0.96928,0.90053,0.4034,0.55841,1.02066,5.80134e-05,5.80134e-05,5.80134e-05
59,902.366,0.4741,1.9366,0.99606,0.92009,0.92774,0.96949,0.89981,0.42884,0.55204,1.02679,5.73996e-05,5.73996e-05,5.73996e-05
60,917.54,0.49416,1.93458,1.01622,0.92685,0.94158,0.96909,0.90262,0.4089,0.51832,1.01624,5.67858e-05,5.67858e-05,5.67858e-05
61,932.756,0.50648,1.93626,1.02066,0.93335,0.94668,0.9642,0.91409,0.39404,0.50288,0.99987,5.6172e-05,5.6172e-05,5.6172e-05
62,948.037,0.48601,1.81057,1.00475,0.86427,0.91814,0.96438,0.91717,0.3827,0.53333,0.9935,5.55582e-05,5.55582e-05,5.55582e-05
63,963.257,0.44439,1.73976,0.9825,0.93328,0.96121,0.96136,0.90052,0.40373,0.48021,1.00958,5.49444e-05,5.49444e-05,5.49444e-05
64,978.401,0.45906,1.78538,0.99488,0.93724,0.9279,0.95901,0.89557,0.41442,0.48365,1.01991,5.43306e-05,5.43306e-05,5.43306e-05
65,993.603,0.49763,1.87017,1.02715,0.91541,0.92558,0.9571,0.89685,0.4171,0.5087,1.02529,5.37168e-05,5.37168e-05,5.37168e-05
66,1008.84,0.45967,1.77161,0.99772,0.93549,0.93827,0.96211,0.89326,0.43866,0.48685,1.04151,5.3103e-05,5.3103e-05,5.3103e-05
67,1024.02,0.44177,1.65568,0.97352,0.92511,0.95067,0.95937,0.90178,0.39258,0.46087,1.0053,5.24892e-05,5.24892e-05,5.24892e-05
68,1039.22,0.47685,1.70934,0.99532,0.92599,0.94308,0.96185,0.90125,0.38706,0.48297,1.00179,5.18754e-05,5.18754e-05,5.18754e-05
69,1054.38,0.45321,1.68702,0.97831,0.92522,0.93531,0.96138,0.90193,0.3968,0.48245,1.00856,5.12616e-05,5.12616e-05,5.12616e-05
70,1069.59,0.48178,1.70513,1.00566,0.94626,0.9513,0.95917,0.90233,0.38003,0.42159,0.99649,5.06478e-05,5.06478e-05,5.06478e-05
71,1084.74,0.45351,1.61551,0.99665,0.92296,0.95677,0.95941,0.89955,0.42055,0.45825,1.01874,5.0034e-05,5.0034e-05,5.0034e-05
72,1099.86,0.4615,1.60824,0.98619,0.93839,0.95249,0.95912,0.90689,0.37788,0.44584,0.99383,4.94202e-05,4.94202e-05,4.94202e-05
73,1115.01,0.46112,1.62695,0.99348,0.91271,0.95363,0.96177,0.90305,0.38997,0.44728,0.99615,4.88064e-05,4.88064e-05,4.88064e-05
74,1130.23,0.45921,1.6609,0.98741,0.93172,0.95704,0.96164,0.90598,0.39776,0.43679,1.00865,4.81926e-05,4.81926e-05,4.81926e-05
75,1145.44,0.44381,1.61721,0.98086,0.91954,0.96555,0.96204,0.91746,0.36577,0.41579,0.98866,4.75788e-05,4.75788e-05,4.75788e-05
76,1160.71,0.44274,1.53873,0.98243,0.93405,0.9524,0.95936,0.91054,0.36606,0.43339,0.9867,4.6965e-05,4.6965e-05,4.6965e-05
77,1176,0.43073,1.50458,0.97324,0.92157,0.95143,0.95679,0.90545,0.39126,0.4441,1.00103,4.63512e-05,4.63512e-05,4.63512e-05
78,1191.3,0.43822,1.49421,0.98298,0.93042,0.93775,0.95424,0.90806,0.38144,0.41364,0.99067,4.57374e-05,4.57374e-05,4.57374e-05
79,1206.41,0.43489,1.5316,0.97256,0.91628,0.95198,0.96188,0.91653,0.37163,0.41682,0.98991,4.51236e-05,4.51236e-05,4.51236e-05
80,1221.49,0.43533,1.49881,0.97406,0.94168,0.93877,0.95691,0.91482,0.34413,0.41271,0.97043,4.45098e-05,4.45098e-05,4.45098e-05
81,1236.68,0.44186,1.53002,0.97701,0.92943,0.94308,0.95657,0.90724,0.39984,0.42843,1.00787,4.3896e-05,4.3896e-05,4.3896e-05
82,1251.87,0.42931,1.46256,0.971,0.91631,0.93929,0.95684,0.91815,0.34465,0.43521,0.98172,4.32822e-05,4.32822e-05,4.32822e-05
83,1267.05,0.4306,1.47291,0.98704,0.9414,0.95539,0.96185,0.91332,0.35882,0.39595,0.98029,4.26684e-05,4.26684e-05,4.26684e-05
84,1282.19,0.41986,1.43829,0.96594,0.94073,0.96875,0.96213,0.90943,0.37246,0.40889,0.99126,4.20546e-05,4.20546e-05,4.20546e-05
85,1297.31,0.41382,1.38201,0.95422,0.95033,0.95533,0.96255,0.91653,0.3395,0.40204,0.96682,4.14408e-05,4.14408e-05,4.14408e-05
86,1312.44,0.40964,1.38128,0.95746,0.94947,0.95172,0.95923,0.91615,0.35173,0.3822,0.96999,4.0827e-05,4.0827e-05,4.0827e-05
87,1327.65,0.42359,1.41071,0.96195,0.94708,0.95293,0.96213,0.90722,0.38282,0.39174,0.99022,4.02132e-05,4.02132e-05,4.02132e-05
88,1342.92,0.41693,1.38828,0.96731,0.95717,0.94148,0.96214,0.91688,0.34519,0.39873,0.96479,3.95994e-05,3.95994e-05,3.95994e-05
89,1358.09,0.42771,1.38925,0.97402,0.93949,0.9518,0.95921,0.91125,0.35339,0.38385,0.96769,3.89856e-05,3.89856e-05,3.89856e-05
90,1373.28,0.41594,1.4056,0.95931,0.95105,0.95399,0.95947,0.91304,0.35098,0.39043,0.96922,3.83718e-05,3.83718e-05,3.83718e-05
91,1388.43,0.40722,1.35825,0.9747,0.94601,0.96339,0.96226,0.91613,0.3498,0.37741,0.9672,3.7758e-05,3.7758e-05,3.7758e-05
92,1403.57,0.40276,1.31124,0.96267,0.95145,0.95162,0.96184,0.91155,0.34971,0.38337,0.97279,3.71442e-05,3.71442e-05,3.71442e-05
93,1418.71,0.39174,1.29334,0.961,0.93964,0.96022,0.96175,0.91254,0.35067,0.38069,0.96947,3.65304e-05,3.65304e-05,3.65304e-05
94,1433.88,0.39045,1.29587,0.9558,0.96226,0.95312,0.96171,0.91765,0.35434,0.38461,0.97819,3.59166e-05,3.59166e-05,3.59166e-05
95,1449.03,0.40888,1.32881,0.9738,0.96109,0.94852,0.96141,0.91021,0.35488,0.38537,0.96997,3.53028e-05,3.53028e-05,3.53028e-05
96,1464.19,0.40196,1.27269,0.95745,0.94864,0.95833,0.9619,0.91403,0.35198,0.36546,0.97405,3.4689e-05,3.4689e-05,3.4689e-05
97,1479.3,0.38918,1.27697,0.95145,0.95147,0.93993,0.96199,0.91045,0.36746,0.39618,0.98511,3.40752e-05,3.40752e-05,3.40752e-05
98,1494.5,0.41578,1.32145,0.95229,0.95698,0.94481,0.96174,0.91068,0.3831,0.38956,0.99592,3.34614e-05,3.34614e-05,3.34614e-05
99,1509.69,0.40403,1.30213,0.94811,0.94177,0.94937,0.95631,0.91869,0.35682,0.38312,0.97369,3.28476e-05,3.28476e-05,3.28476e-05
100,1524.99,0.39624,1.29075,0.95882,0.9471,0.96245,0.95917,0.91483,0.364,0.36876,0.98038,3.22338e-05,3.22338e-05,3.22338e-05
101,1540.22,0.38088,1.26752,0.93697,0.96163,0.94964,0.96176,0.91363,0.35134,0.37285,0.97309,3.162e-05,3.162e-05,3.162e-05
102,1555.45,0.40436,1.2859,0.95209,0.96339,0.95084,0.9629,0.91314,0.362,0.36464,0.98236,3.10062e-05,3.10062e-05,3.10062e-05
103,1570.64,0.38631,1.22289,0.94868,0.96119,0.96137,0.96246,0.91707,0.34504,0.35433,0.96796,3.03924e-05,3.03924e-05,3.03924e-05
104,1585.86,0.37615,1.22066,0.94269,0.96114,0.95725,0.95915,0.9117,0.34725,0.35489,0.97055,2.97786e-05,2.97786e-05,2.97786e-05
105,1601.14,0.3738,1.25514,0.94528,0.93123,0.96068,0.96143,0.91581,0.33797,0.36842,0.96301,2.91648e-05,2.91648e-05,2.91648e-05
106,1616.3,0.3682,1.16982,0.92716,0.93703,0.96124,0.96177,0.91022,0.34803,0.35471,0.96846,2.8551e-05,2.8551e-05,2.8551e-05
107,1631.44,0.38627,1.24143,0.95298,0.94713,0.95726,0.96455,0.91654,0.34322,0.3545,0.96481,2.79372e-05,2.79372e-05,2.79372e-05
108,1646.6,0.37187,1.18818,0.93319,0.95036,0.95295,0.96173,0.9151,0.34684,0.37199,0.96552,2.73234e-05,2.73234e-05,2.73234e-05
109,1661.78,0.38894,1.24491,0.95494,0.95097,0.95726,0.9618,0.91847,0.34984,0.3564,0.97041,2.67096e-05,2.67096e-05,2.67096e-05
110,1676.91,0.39008,1.21482,0.96056,0.95056,0.9669,0.96142,0.92142,0.35033,0.36419,0.96869,2.60958e-05,2.60958e-05,2.60958e-05
111,1692.08,0.37309,1.13497,0.93391,0.94711,0.95408,0.96401,0.92071,0.35128,0.36422,0.97238,2.5482e-05,2.5482e-05,2.5482e-05
112,1707.23,0.37045,1.16589,0.93926,0.94516,0.96445,0.95913,0.91735,0.32921,0.35078,0.95797,2.48682e-05,2.48682e-05,2.48682e-05
113,1722.37,0.37065,1.1381,0.9394,0.95426,0.95962,0.96145,0.91795,0.34262,0.3456,0.96307,2.42544e-05,2.42544e-05,2.42544e-05
114,1737.53,0.37664,1.22571,0.94611,0.95724,0.95082,0.96144,0.91476,0.33458,0.34813,0.96029,2.36406e-05,2.36406e-05,2.36406e-05
115,1752.73,0.359,1.11958,0.93799,0.94064,0.95158,0.96143,0.91942,0.33579,0.35525,0.96192,2.30268e-05,2.30268e-05,2.30268e-05
116,1767.9,0.36381,1.15345,0.94248,0.95417,0.95247,0.96142,0.91649,0.34129,0.34665,0.96157,2.2413e-05,2.2413e-05,2.2413e-05
117,1783.05,0.36064,1.19092,0.93062,0.95879,0.9516,0.96142,0.92087,0.33308,0.34502,0.96175,2.17992e-05,2.17992e-05,2.17992e-05
118,1798.22,0.38049,1.18878,0.93991,0.94385,0.95489,0.96143,0.92465,0.31848,0.33804,0.95277,2.11854e-05,2.11854e-05,2.11854e-05
119,1813.34,0.37205,1.16812,0.93997,0.95718,0.9576,0.96176,0.92316,0.32639,0.3426,0.95975,2.05716e-05,2.05716e-05,2.05716e-05
120,1828.5,0.36556,1.13967,0.93834,0.94018,0.96875,0.9592,0.91287,0.33584,0.32429,0.96332,1.99578e-05,1.99578e-05,1.99578e-05
121,1843.6,0.35503,1.11032,0.92497,0.95371,0.95611,0.96143,0.91836,0.33947,0.34658,0.96622,1.9344e-05,1.9344e-05,1.9344e-05
122,1858.76,0.34359,1.11904,0.9216,0.95139,0.94868,0.96147,0.92084,0.33407,0.34706,0.96664,1.87302e-05,1.87302e-05,1.87302e-05
123,1873.95,0.35846,1.10004,0.92463,0.94629,0.96723,0.96144,0.92204,0.33259,0.33728,0.9665,1.81164e-05,1.81164e-05,1.81164e-05
124,1889.23,0.35635,1.08709,0.93055,0.94837,0.96735,0.96143,0.92087,0.33537,0.3441,0.96292,1.75026e-05,1.75026e-05,1.75026e-05
125,1904.49,0.36784,1.10987,0.92951,0.94783,0.95393,0.96175,0.91703,0.34146,0.34727,0.96263,1.68888e-05,1.68888e-05,1.68888e-05
126,1919.66,0.34747,1.1006,0.92612,0.95185,0.96372,0.96144,0.92038,0.34927,0.3474,0.97272,1.6275e-05,1.6275e-05,1.6275e-05
127,1934.82,0.34512,1.08143,0.9178,0.95257,0.96422,0.96145,0.91993,0.33822,0.3476,0.96585,1.56612e-05,1.56612e-05,1.56612e-05
128,1950.04,0.36675,1.11477,0.9444,0.9611,0.96035,0.96402,0.9251,0.32521,0.33969,0.95556,1.50474e-05,1.50474e-05,1.50474e-05
129,1965.24,0.33549,1.08061,0.91419,0.95998,0.9603,0.96144,0.92185,0.33593,0.3439,0.96146,1.44336e-05,1.44336e-05,1.44336e-05
130,1980.41,0.37146,1.09402,0.94425,0.95304,0.95944,0.96145,0.92399,0.32638,0.33798,0.95736,1.38198e-05,1.38198e-05,1.38198e-05
131,1995.6,0.35563,1.07732,0.92597,0.95592,0.95708,0.96145,0.9218,0.31939,0.33437,0.94936,1.3206e-05,1.3206e-05,1.3206e-05
132,2010.75,0.34306,1.05579,0.92381,0.95922,0.96096,0.96403,0.92277,0.32256,0.32972,0.94757,1.25922e-05,1.25922e-05,1.25922e-05
133,2025.87,0.35919,1.12474,0.93809,0.96176,0.95725,0.96184,0.92296,0.33229,0.33361,0.95251,1.19784e-05,1.19784e-05,1.19784e-05
134,2041.03,0.33562,1.09003,0.91885,0.96243,0.95718,0.96146,0.91837,0.3319,0.33865,0.95622,1.13646e-05,1.13646e-05,1.13646e-05
135,2056.19,0.33929,1.09042,0.93027,0.96099,0.95945,0.96144,0.92197,0.32594,0.3398,0.95263,1.07508e-05,1.07508e-05,1.07508e-05
136,2071.42,0.3295,1.08231,0.91589,0.9501,0.95828,0.964,0.92426,0.32763,0.34176,0.95089,1.0137e-05,1.0137e-05,1.0137e-05
137,2086.62,0.33602,1.03961,0.91252,0.94795,0.95767,0.96144,0.91795,0.32711,0.34459,0.952,9.5232e-06,9.5232e-06,9.5232e-06
138,2101.79,0.33495,1.09528,0.9207,0.94547,0.95045,0.96401,0.92353,0.32282,0.33579,0.94986,8.9094e-06,8.9094e-06,8.9094e-06
139,2116.94,0.3381,1.03565,0.92175,0.93622,0.95519,0.96403,0.92574,0.31942,0.3397,0.9512,8.2956e-06,8.2956e-06,8.2956e-06
140,2132.19,0.32655,1.06642,0.92051,0.94559,0.96353,0.96402,0.9226,0.3153,0.32605,0.94704,7.6818e-06,7.6818e-06,7.6818e-06
141,2166.45,0.26138,1.24873,0.8743,0.96581,0.95538,0.96427,0.92422,0.32949,0.34194,0.95005,7.068e-06,7.068e-06,7.068e-06
142,2181.62,0.25614,1.29722,0.87665,0.95142,0.94913,0.96429,0.92236,0.32776,0.34096,0.951,6.4542e-06,6.4542e-06,6.4542e-06
143,2196.9,0.25583,1.24524,0.86339,0.95272,0.94893,0.96398,0.92329,0.32454,0.3407,0.95186,5.8404e-06,5.8404e-06,5.8404e-06
144,2212.15,0.25469,1.25362,0.86443,0.95237,0.94876,0.96399,0.92239,0.3228,0.33788,0.94835,5.2266e-06,5.2266e-06,5.2266e-06
145,2227.28,0.25654,1.22996,0.85732,0.95609,0.94912,0.96399,0.92104,0.31886,0.33323,0.9454,4.6128e-06,4.6128e-06,4.6128e-06
146,2242.51,0.2509,1.23553,0.86052,0.95213,0.94906,0.96399,0.92223,0.32082,0.32969,0.94755,3.999e-06,3.999e-06,3.999e-06
147,2257.82,0.24378,1.23391,0.87131,0.95226,0.94869,0.96399,0.92297,0.31832,0.32992,0.94552,3.3852e-06,3.3852e-06,3.3852e-06
148,2273.1,0.25662,1.24059,0.85838,0.95167,0.94886,0.96431,0.92179,0.32132,0.33066,0.9445,2.7714e-06,2.7714e-06,2.7714e-06
149,2288.22,0.24129,1.23577,0.87099,0.95114,0.94888,0.96433,0.9238,0.31945,0.32844,0.94561,2.1576e-06,2.1576e-06,2.1576e-06
150,2303.37,0.24512,1.22913,0.86606,0.9552,0.94917,0.96434,0.92271,0.31588,0.32321,0.94326,1.5438e-06,1.5438e-06,1.5438e-06
